,0,1
0,Amazonas,28.38
1,Antioquia,2.58
2,Arauca,17.29
3,Atlántico,7.22
4,Bogotá D.C.,4.19
5,Bolívar,6.31
6,Boyacá,9.86
7,Caldas,7.52
8,Caquetá,15.82
9,Casanare,12.92
10,Cauca,8.53
11,Cesar,8.39
12,Chocó,16.03
13,Cundinamarca,5.23
14,Córdoba,12.14
15,Guainía,37.93
16,Guaviare,37.21
17,Huila,8.06
18,La Guajira,12.56
19,Magdalena,11.71
20,Meta,9.51
21,Nariño,6.25
22,Norte de Santander,7.0
23,Putumayo,8.83
24,Quindío,8.27
25,Risaralda,9.77
26,"San Andrés, Providencia y Santa Catalina",44.0
27,Santander,9.13
28,Sucre,6.8
29,Tolima,7.59
30,Valle del Cauca,4.39
31,Vaupés,32.31
32,Vichada,34.21
