,0,1
0,Amazonas,80.57
1,Antioquia,63.2
2,Arauca,83.47
3,Atlántico,75.71
4,Bogotá D.C.,65.97
5,Bolívar,49.23
6,Boyacá,38.57
7,Caldas,43.67
8,Caquetá,71.9
9,Casanare,68.51
10,Cauca,68.03
11,Cesar,50.23
12,Chocó,42.98
13,Cundinamarca,32.19
14,Córdoba,27.81
15,Guainía,90.04
16,Guaviare,83.18
17,Huila,59.01
18,La Guajira,60.65
19,Magdalena,74.32
20,Meta,53.12
21,Nariño,68.81
22,Norte de Santander,57.94
23,Putumayo,54.67
24,Quindío,57.51
25,Risaralda,60.32
26,"San Andrés, Providencia y Santa Catalina",94.11
27,Santander,51.62
28,Sucre,53.8
29,Tolima,67.25
30,Valle del Cauca,58.22
31,Vaupés,76.69
32,Vichada,99.32
